rank,player,log,lda,rf,gbc,dnn,avg
60,Darren Collison,40.63208786,40.5115106,40.18777158,40.3313902,39.96059961,40.32467197
61,Derrick Favors,40.679242,40.64051087,39.70204105,40.40570214,40.18601719,40.32270265
62,Kevon Looney,40.81406904,40.80017021,39.19999274,39.72282183,40.65237246,40.23788526
63,Hassan Whiteside,41.17549674,41.1233938,38.77035958,39.79113765,39.80922896,40.13392335
64,Jayson Tatum,40.00451905,39.94628358,40.46336725,40.46032444,39.57959474,40.09081781
65,Alex Len,40.61264725,40.56155829,39.17966598,39.8635698,40.22190807,40.08786988
66,Dario Saric,40.09839795,40.06597982,40.05568009,40.32891658,39.77613409,40.06502171
67,Aaron Gordon,40.06949483,39.98578216,39.98168402,39.44174528,40.26295174,39.94833161
68,Jamal Murray,40.13113945,40.01680555,39.58750339,39.4702552,40.24641662,39.89042404
69,Nerlens Noel,41.34528763,41.32293846,37.9014687,38.21950491,40.64931773,39.88770349
70,Bryn Forbes,39.39683609,39.35851132,40.89210172,40.26667155,39.3682575,39.85647563
71,Kelly Olynyk,39.91995391,39.86364098,39.28805756,40.30757966,39.75253001,39.82635242
72,DeAndre' Bembry,39.88609359,39.86539329,39.5349887,39.93092114,39.76434037,39.79634742
73,Ryan Arcidiacono,39.65795086,39.61969642,40.06470283,40.28258882,39.33978505,39.79294479
74,Miles Bridges,39.993497,39.98487491,39.33146835,39.71395853,39.92165711,39.78909118
75,Dennis Schroeder,39.57409068,39.49598911,40.53883785,40.13050417,38.98823302,39.74553097
76,Landry Shamet,39.2515106,39.21685902,40.46016027,40.01803222,39.58587685,39.70648779
77,Joel Embiid,40.02725955,39.87045642,38.90649547,39.33362341,40.32705838,39.69297865
78,Tomas Satoransky,40.34692299,40.2754169,39.02412928,39.23037365,39.54818157,39.68500488
79,Vince Carter,39.86377464,39.81054037,39.10690939,39.54994789,39.88492752,39.64321996
80,JaVale McGee,40.10962644,40.08595056,39.23821994,39.04769616,39.55577684,39.60745399
81,Al-Farouq Aminu,39.19630589,39.17092443,39.80531749,39.92306986,39.76234234,39.571592
82,Thaddeus Young,39.1834596,39.1693419,39.94957362,39.76568281,39.5176871,39.51714901
83,Mike Scott,39.66128842,39.64855142,38.95695736,39.23347875,39.74241417,39.44853802
84,Davis Bertans,39.26766129,39.21249447,39.36759014,39.5574145,39.54117702,39.38926749
85,Shai Gilgeous-Alexander,39.23276161,39.20687718,40.09868419,39.65760113,38.65105672,39.36939617
86,Royce O'Neale,39.1073084,39.11026162,39.33750707,39.60818496,39.6388508,39.36042257
87,Evan Fournier,39.25414089,39.19225215,40.10643544,39.44413203,38.73051133,39.34549437
88,Justin Jackson,39.25204264,39.24689916,39.3543988,39.30645692,39.24940028,39.28183956
89,J.J. Redick,39.10621438,39.0020366,40.01974426,39.32371308,38.63513841,39.21736935
90,Dwight Powell,39.5222913,39.48360947,38.60930588,39.0016115,39.34528121,39.19241987
91,Gorgui Dieng,40.44577844,40.41686546,37.07177571,37.75059948,40.07118246,39.15124031
92,Marco Belinelli,38.99743317,38.95226314,39.36546782,39.34950495,38.68294012,39.06952184
93,Jakob Poeltl,39.89151784,39.87331878,37.62970657,37.99325749,39.47112183,38.9717845
94,Bojan Bogdanovic,38.56423768,38.52243455,39.97881715,39.52952419,38.18053389,38.95510949
95,Julius Randle,38.67298318,38.5811552,39.20899804,38.94457792,39.22913133,38.92736913
96,Mikal Bridges,38.15742495,38.14909166,39.75779422,39.32498675,39.03076581,38.88401268
97,Domantas Sabonis,39.00534573,38.94069104,37.26327024,38.34005947,39.21379794,38.55263288
98,Dorian Finney-Smith,38.18075311,38.18308115,38.83142283,38.80104327,38.76037102,38.55133428
99,Justin Holiday,37.81580289,37.79940782,39.66983011,38.56911509,38.82791919,38.53641502
100,Delon Wright,39.06800061,39.00530407,37.36829504,38.08629695,38.83151113,38.47188156
101,Marvin Williams,38.1429107,38.10553377,38.75955869,38.56565249,38.7066674,38.45606461
102,Langston Galloway,38.22726156,38.20481479,38.93628929,38.45988375,38.32144126,38.42993813
103,Jerami Grant,37.91889119,37.91303118,38.99430703,38.68618073,38.22239265,38.34696056
104,Serge Ibaka,38.53491362,38.49204426,37.99900586,38.31107278,38.05940738,38.27928878
105,P.J. Tucker,36.29180098,36.30892405,40.02077454,38.93776088,38.83937402,38.07972689
106,Jrue Holiday,38.69132564,38.50644383,36.88087664,37.08045382,38.95192904,38.02220579
