rank,player,log,lda,rf,gbc,dnn,avg
68,Nemanja Bjelica,0.534832807,0.534037055,0.517069158,0.525836309,0.533177714,0.528990608
69,Rajon Rondo,0.537253456,0.535329144,0.504370628,0.519626713,0.545041138,0.528324216
70,JaVale McGee,0.534795019,0.534479341,0.523176266,0.520635949,0.527410358,0.528099387
71,Montrezl Harrell,0.52525,0.524652809,0.528956528,0.531235808,0.525755224,0.527170074
72,Bogdan Bogdanovic,0.529529563,0.528234735,0.523173931,0.528898649,0.523592916,0.526685959
73,Mo Bamba,0.536227205,0.535977689,0.511498184,0.517617496,0.530670173,0.526398149
74,Lonzo Ball,0.530682367,0.529272756,0.507977919,0.52571297,0.532889001,0.525307002
75,Lauri Markkanen,0.532137934,0.530751641,0.516656659,0.52107601,0.52254475,0.524633399
76,Dwyane Wade,0.525275031,0.52396219,0.521672011,0.52920468,0.522893113,0.524601405
77,LaMarcus Aldridge,0.520779582,0.520087342,0.528559985,0.526092075,0.526688314,0.52444146
78,Jeremy Lamb,0.525812631,0.524862166,0.521886272,0.52521854,0.523417366,0.524239395
79,Fred VanVleet,0.525894458,0.524335115,0.522735261,0.525406229,0.519172322,0.523508677
80,Joe Ingles,0.528235789,0.526488675,0.515273547,0.520677745,0.524425423,0.523020236
81,Boban Marjanovic,0.534325072,0.533901235,0.49886558,0.510263774,0.53671318,0.522813768
82,Kyle Korver,0.518020384,0.517552384,0.524506148,0.532143681,0.520779674,0.522600454
83,Reggie Jackson,0.524054287,0.522597072,0.522622921,0.524870547,0.518576989,0.522544363
84,Bobby Portis,0.524685397,0.523638344,0.517931619,0.522084415,0.520965649,0.521861085
85,Vince Carter,0.52452335,0.5238229,0.514564597,0.520394051,0.524801678,0.521621315
86,Georges Niang,0.530115597,0.530008596,0.503633019,0.512528134,0.530986843,0.521454438
87,Paul Millsap,0.523070238,0.522362584,0.517342213,0.523850886,0.519537356,0.521232655
88,Domantas Sabonis,0.527099267,0.526225555,0.503557706,0.518108912,0.529916188,0.520981525
89,Mason Plumlee,0.527831232,0.527115825,0.505396892,0.517907991,0.526238717,0.520898132
90,Alex Len,0.527436977,0.526773484,0.508826831,0.517708699,0.522362442,0.520621687
91,Ricky Rubio,0.524683946,0.523012994,0.515953438,0.521498767,0.51787764,0.520605357
92,Patrick Beverley,0.518211443,0.517137967,0.515913227,0.525603362,0.523501527,0.520073505
93,Gordon Hayward,0.518338264,0.517613565,0.520209614,0.526712872,0.517448292,0.520064522
94,Monte Morris,0.522714911,0.521809063,0.516618525,0.519987189,0.518825766,0.519991091
95,Thomas Bryant,0.530711768,0.530170177,0.504369406,0.509834238,0.52480455,0.519978028
96,Pat Connaughton,0.520927299,0.520326887,0.511870741,0.525031984,0.520939112,0.519819205
97,Otto Porter,0.524287086,0.523309679,0.511795142,0.513971212,0.52351814,0.519376252
98,Justin Anderson,0.523029331,0.523010297,0.508498157,0.517174242,0.523061704,0.518954746
99,Trey Burke,0.521323627,0.520446432,0.512770588,0.518957093,0.521156659,0.51893088
100,Rudy Gay,0.525244846,0.524355989,0.504421167,0.51751044,0.520982331,0.518502954
101,Clint Capela,0.519398775,0.518937985,0.517349483,0.523026736,0.51332259,0.518407114
102,Quinn Cook,0.521991484,0.521402043,0.506498545,0.515182358,0.526616038,0.518338094
103,Davis Bertans,0.516679754,0.515953875,0.517994607,0.520492296,0.520278645,0.518279835
104,Nerlens Noel,0.536951787,0.536661539,0.492226866,0.496357207,0.527913217,0.518022123
105,CJ McCollum,0.514758272,0.513577461,0.525114157,0.517088431,0.517379942,0.517583653
106,Jonas Jerebko,0.523638487,0.523254493,0.503042733,0.51446879,0.522363798,0.51735366
107,Omari Spellman,0.522686777,0.522499134,0.504321464,0.513848785,0.523395699,0.517350372
108,Aaron Holiday,0.523738742,0.52312233,0.504350894,0.516153005,0.519100592,0.517293113
109,Serge Ibaka,0.520742076,0.52016276,0.513500079,0.5177172,0.514316316,0.517287686
110,Daniel Theis,0.525421344,0.525067952,0.500921237,0.509364904,0.524282898,0.517011667
111,Patty Mills,0.51478434,0.51373881,0.514713137,0.529252297,0.510102608,0.516518239
112,Spencer Dinwiddie,0.515348564,0.513783271,0.517719349,0.521973913,0.513756114,0.516516242
113,Kent Bazemore,0.518403657,0.517716278,0.511285675,0.51751286,0.516746836,0.516333061
114,J.J. Redick,0.514555452,0.513184692,0.526575582,0.517417277,0.508357084,0.516018018
115,Frank Kaminsky,0.524173853,0.523436281,0.499180878,0.511054777,0.522029654,0.515975089
116,Malcolm Brogdon,0.5186002,0.517508823,0.51081733,0.515662654,0.516343258,0.515786453
117,Matthew Dellavedova,0.521027192,0.520386103,0.505153255,0.5229221,0.508610305,0.515619791
118,Maxi Kleber,0.517768143,0.517571638,0.509279285,0.515582054,0.516459482,0.51533212
119,Gorgui Dieng,0.532181295,0.531800861,0.487786522,0.496718414,0.527252401,0.515147899
120,T.J. Leaf,0.523319588,0.523354037,0.500528051,0.504460243,0.521895607,0.514711505
121,Jae Crowder,0.511048716,0.510161032,0.52012548,0.517619785,0.512750998,0.514341202
122,Lance Stephenson,0.519070753,0.518380157,0.503899288,0.513182836,0.516917158,0.514290038
123,Willie Cauley-Stein,0.520584238,0.520080605,0.503266659,0.512314897,0.514851036,0.514219487
124,Tobias Harris,0.516386751,0.515141348,0.514994908,0.509594707,0.514781365,0.514179816
125,Richaun Holmes,0.523427935,0.523059701,0.5011065,0.504283578,0.516967302,0.513769003
126,Sindarius Thornwell,0.508254172,0.508342457,0.513125369,0.516642245,0.522246504,0.513722149
127,Meyers Leonard,0.523394429,0.523023635,0.494715191,0.504978152,0.520661715,0.513354624
128,Marcus Smart,0.514016751,0.512985375,0.508378138,0.521689227,0.509445664,0.513303031
129,De'Anthony Melton,0.515774911,0.515428464,0.50490524,0.517103688,0.513010222,0.513244505
130,Tyus Jones,0.52147453,0.520417996,0.506111266,0.513447732,0.50453983,0.513198271
131,Andre Iguodala,0.512153535,0.511528137,0.508147954,0.520776622,0.51318618,0.513158486
132,Thon Maker,0.520014113,0.519826352,0.502605357,0.506400947,0.516355123,0.513040379
133,Delon Wright,0.520906675,0.520070721,0.498243934,0.507817293,0.517753482,0.512958421
134,Tim Frazier,0.519157972,0.518413579,0.499981288,0.513206299,0.513648044,0.512881437
135,Kenrich Williams,0.506384072,0.506289383,0.512879885,0.52004989,0.518316903,0.512784026
136,Marvin Williams,0.508572143,0.508073784,0.516794116,0.5142087,0.516088899,0.512747528
137,Dirk Nowitzki,0.523208935,0.522650739,0.493467609,0.501278345,0.521773661,0.512475858
138,Aaron Gordon,0.513711472,0.512638233,0.512585693,0.505663401,0.516191689,0.512158098
139,Gary Clark,0.514422383,0.514288662,0.50109242,0.511799856,0.519112338,0.512143132
140,Derrick White,0.515751248,0.515034627,0.503915257,0.513764859,0.510174194,0.511728037
141,Zach LaVine,0.506048994,0.504507938,0.524889447,0.512490344,0.510008584,0.511589061
142,D.J. Augustin,0.515935386,0.514547505,0.50720835,0.513869481,0.50629864,0.511571872
143,Quincy Pondexter,0.508657537,0.508499776,0.509179706,0.511490392,0.519896504,0.511544783
144,Danny Green,0.505528494,0.504718903,0.516483237,0.513159428,0.514938729,0.510965758
145,Taurean Waller-Prince,0.509607889,0.509189185,0.519684813,0.512160269,0.503681728,0.510864777
146,Timothe Luwawu-Cabbarot,0.505294126,0.505525876,0.515389384,0.514865011,0.512695075,0.510753894
147,Troy Brown,0.517521972,0.517473221,0.496694933,0.503192397,0.517774879,0.51053148
148,Cheick Diallo,0.51756698,0.517543652,0.497072212,0.502950418,0.517255573,0.510477767
149,Justise Winslow,0.510141181,0.509025057,0.507103043,0.514298222,0.508880674,0.509889635
150,Dion Waiters,0.509625254,0.508492978,0.510499442,0.511606334,0.508734257,0.509791653
151,Jamal Crawford,0.514540677,0.513840355,0.503916684,0.513255355,0.50325785,0.509762184
152,Gerald Green,0.50790651,0.507402684,0.510038852,0.51080762,0.511954854,0.509622104
153,Furkan Korkmaz,0.517813059,0.5174036,0.494165864,0.5012725,0.517207134,0.509572431
154,Dwight Powell,0.51327651,0.512774149,0.501419557,0.506514435,0.510977678,0.508992466
155,Ish Smith,0.511540029,0.511016294,0.500873961,0.507809483,0.508288606,0.507905675
156,Josh Richardson,0.515940581,0.514728051,0.502647743,0.499639343,0.506475912,0.507886326
157,Jayson Tatum,0.506386317,0.505649159,0.512194522,0.512156006,0.501007528,0.507478706
158,Pascal Siakam,0.508091854,0.507313292,0.508892157,0.506042456,0.506020697,0.507272091
159,Amir Johnson,0.517954788,0.51773138,0.486696454,0.494104421,0.519831518,0.507263712
160,C.J. Miles,0.506496829,0.50639088,0.503810129,0.508826483,0.509875034,0.507079871
161,Ivica Zubac,0.51430365,0.514019951,0.49480218,0.498614327,0.512776706,0.506903363
162,Iman Shumpert,0.501537811,0.501405272,0.508782437,0.514048958,0.507956984,0.506746292
163,Wayne Ellington,0.501147057,0.500250992,0.512678868,0.509906914,0.509685948,0.506733956
164,Yogi Ferrell,0.514909391,0.514487191,0.491096466,0.49985633,0.512524812,0.506574838
165,DeAndre Jordan,0.509549797,0.509095596,0.498935542,0.504348253,0.510782915,0.506542421
166,Jordan Clarkson,0.504662588,0.503874275,0.511452969,0.50684013,0.504922021,0.506350396
167,Jakob Poeltl,0.51807166,0.517835309,0.488697488,0.493418928,0.512611972,0.506127071
168,Jarrett Allen,0.508309319,0.508002637,0.505889103,0.506006324,0.501511889,0.505943854
169,Jordan Bell,0.512685926,0.512558483,0.490293275,0.496710752,0.516843747,0.505818437
170,Cody Zeller,0.507997118,0.507980755,0.498654972,0.505927077,0.508528755,0.505817735
171,Marcus Morris,0.506285263,0.505487155,0.50817697,0.507144051,0.501850864,0.505788861
172,Sam Dekker,0.511281411,0.511681102,0.496292079,0.49724728,0.51142173,0.50558472
173,Willy Hernangomez,0.519755521,0.519169267,0.478406071,0.496065513,0.514096561,0.505498587
174,Malik Monk,0.509468695,0.50870234,0.495390468,0.50311481,0.507135747,0.504762412
175,Malik Beasley,0.503334628,0.50276683,0.50660595,0.503356243,0.507317648,0.50467626
176,D.J. Wilson,0.50631353,0.505994072,0.495545465,0.508299089,0.507195481,0.504669527
177,Jahlil Okafor,0.50604709,0.506015471,0.499393775,0.500469807,0.509802099,0.504345648
178,Kris Dunn,0.506615953,0.505279061,0.501620113,0.509252314,0.498405741,0.504234636
179,JaMychal Green,0.507588844,0.507144559,0.499590628,0.50898115,0.497830135,0.504227063
180,Kelly Olynyk,0.505315872,0.50460305,0.497317184,0.510222527,0.503196582,0.504131043
181,Stanley Johnson,0.504468601,0.504478266,0.502653952,0.502790826,0.506160483,0.504110426
182,Deandre Ayton,0.503991611,0.503776401,0.503739358,0.505547093,0.502285198,0.503867932
183,Sterling Brown,0.504613659,0.504607031,0.498674789,0.502400469,0.508180503,0.50369529
184,Aron Baynes,0.510929924,0.51069185,0.490007246,0.499574452,0.506878393,0.503616373
185,Bam Adebayo,0.507952176,0.507527127,0.494223267,0.500207458,0.508134756,0.503608957
186,Dennis Schroeder,0.500937857,0.499949229,0.513149846,0.507981065,0.493521937,0.503107987
187,Kevon Looney,0.510175863,0.510002128,0.489999909,0.496535273,0.508154656,0.502973566
188,Landry Shamet,0.496854565,0.496415937,0.512153927,0.50655737,0.501087049,0.502613769
189,Trey Lyles,0.509868091,0.509362348,0.491230114,0.494603863,0.50675157,0.502363197
190,Devin Harris,0.510122225,0.509710862,0.486912485,0.500160299,0.504090266,0.502199228
191,Eric Gordon,0.494403719,0.493555514,0.520958394,0.503322251,0.498395107,0.502126997
192,Norman Powell,0.503303771,0.50308924,0.501073652,0.503284996,0.499487646,0.502047861
193,Abdel Nader,0.502577384,0.502739224,0.495083222,0.498038865,0.508928481,0.501473435
194,Marvin Bagley,0.505139089,0.504710415,0.499179285,0.501654117,0.496472188,0.501431019
195,Tyler Johnson,0.500110828,0.499371543,0.505574201,0.505444659,0.495019963,0.501104239
196,Harry Giles,0.509159955,0.508983642,0.485444748,0.490369298,0.511012759,0.500994081
197,Marquese Chriss,0.509542403,0.50962225,0.487377785,0.48909668,0.508935817,0.500914987
198,Ian Clark,0.501146869,0.501001969,0.498987131,0.501465768,0.501705841,0.500861516
199,Ed Davis,0.51646627,0.516270115,0.478892635,0.490978932,0.500512329,0.500624056
200,Jonathan Isaac,0.498043762,0.497760184,0.506554736,0.504306506,0.496239404,0.500580918
201,Jonah Bolden,0.505694014,0.50487488,0.48651526,0.496525466,0.508784969,0.500478918
202,Jerian Grant,0.505355094,0.50469896,0.486433339,0.504258427,0.501491774,0.500447519
203,Markieff Morris,0.502786802,0.502285256,0.495941831,0.498625026,0.501143341,0.500156451
204,Mike Scott,0.502041626,0.501880398,0.493126043,0.496626313,0.503068534,0.499348583
205,Rondae Hollis-Jefferson,0.504748497,0.504800219,0.490517678,0.494671769,0.501769418,0.499301516
206,Chasson Randle,0.507369573,0.507068701,0.489891763,0.493829348,0.497286358,0.499089149
207,Tyreke Evans,0.5052277,0.504555737,0.489058782,0.497255603,0.499228397,0.499065244
208,Cory Joseph,0.495523732,0.494970379,0.498470806,0.509674435,0.495800281,0.498887927
209,T.J. Warren,0.496354663,0.495747583,0.501746085,0.505366597,0.494526433,0.498748272
210,Trevor Ariza,0.500167898,0.49911806,0.496856648,0.49273115,0.503381968,0.498451145
211,Troy Daniels,0.500345404,0.499994493,0.488947005,0.496139995,0.506270028,0.498339385
212,T.J. McConnell,0.503209497,0.502847929,0.489104963,0.495815912,0.498259011,0.497847462
213,Dennis Smith,0.496712645,0.495876715,0.506833398,0.50021321,0.488125445,0.497552282
214,Mike Muscala,0.499027949,0.49845907,0.491181048,0.498711673,0.500225384,0.497521025
215,Miles Bridges,0.499918713,0.499810936,0.491643354,0.496424482,0.499020714,0.49736364
216,Kentavious Caldwell-Pope,0.495097364,0.494620294,0.501660446,0.498864058,0.495974918,0.497243416
217,Will Barton,0.495344488,0.494682921,0.497153951,0.504799268,0.493911141,0.497178354
218,Ersan İlyasova,0.499397364,0.499260856,0.490187392,0.498128606,0.49841615,0.497078073
219,Wendell Carter,0.495081783,0.494788493,0.499080528,0.50174113,0.493417557,0.496821898
220,Anthony Tolliver,0.495026989,0.494833951,0.495463446,0.501509087,0.496771436,0.496720982
221,Zach Collins,0.501213952,0.501145485,0.485844746,0.49377986,0.498380452,0.496072899
222,Tomas Satoransky,0.504336537,0.503442711,0.487801616,0.490379671,0.49435227,0.496062561
223,Kelly Oubre,0.495982307,0.495182938,0.499868289,0.49795501,0.49028521,0.495854751
224,Jaren Jackson,0.495695172,0.495401001,0.498765688,0.49558307,0.490608342,0.495210655
225,Luke Kennard,0.493176457,0.492632392,0.497603511,0.497994764,0.493690991,0.495019623
226,Greg Monroe,0.502859972,0.502622245,0.48310817,0.482125854,0.502850427,0.494713334
227,Evan Turner,0.493732164,0.493414011,0.491252338,0.497643736,0.497124008,0.494633251
228,Dario Saric,0.49504195,0.494641726,0.494514569,0.497887859,0.491063384,0.494629898
229,Marco Belinelli,0.493638395,0.493066622,0.498297061,0.498094999,0.48965747,0.494550909
230,Noah Vonleh,0.494988787,0.494388581,0.490238122,0.493010005,0.496304329,0.493785965
231,Jaylen Brown,0.490922083,0.490680099,0.501102396,0.495699584,0.48884981,0.493450794
232,Zaza Pachulia,0.504078972,0.503937,0.474294851,0.484606236,0.500320315,0.493447475
233,Nik Stauskas,0.499160747,0.499012371,0.481506266,0.489187941,0.497672226,0.49330791
234,Khem Birch,0.50652267,0.506088112,0.476539705,0.477385772,0.499710332,0.493249318
235,Tim Hardaway,0.49022855,0.489041501,0.505224591,0.496675003,0.482998358,0.492833601
236,Shaquille Harrison,0.496597743,0.496376441,0.486307273,0.48854281,0.496020798,0.492769013
237,Langston Galloway,0.490093097,0.489805318,0.499183196,0.493075433,0.491300529,0.492691515
238,Seth Curry,0.488428681,0.488365175,0.498463366,0.49594409,0.491484723,0.492537207
239,Alfonzo McKinnie,0.500373981,0.500415835,0.478634795,0.483843347,0.498688061,0.492391204
240,Jose Calderon,0.494440301,0.494294755,0.489089762,0.499409828,0.484670016,0.492380932
241,Kosta Koufos,0.506669759,0.506416293,0.467815071,0.475752853,0.503078624,0.49194652
242,DeMarre Carroll,0.488192734,0.487838953,0.496961146,0.500760073,0.485393662,0.491829314
243,Antonio Blakeney,0.493411646,0.493424596,0.488137526,0.490048668,0.49389908,0.491784303
244,George Hill,0.488493608,0.488396401,0.496048445,0.498000021,0.486203194,0.491428334
245,Nene Hilario,0.504482402,0.504827424,0.473883317,0.474574822,0.498694001,0.491292393
246,Ryan Arcidiacono,0.489604332,0.489132055,0.494625961,0.497315911,0.485676359,0.491270923
247,Thabo Sefolosha,0.501339064,0.500939847,0.475469897,0.4776017,0.500569088,0.491183919
248,Justin Jackson,0.490650533,0.49058624,0.491929985,0.491330711,0.490617504,0.491022995
249,Jonathon Simmons,0.490096968,0.490268024,0.495259101,0.493276443,0.483402525,0.490460612
250,Jeremy Lin,0.497640486,0.496783629,0.477846288,0.487819526,0.491521655,0.490322317
251,Torrey Craig,0.487791528,0.487899973,0.490502336,0.493375307,0.490846578,0.490083144
252,Emmanuel Mudiay,0.489433717,0.488511883,0.49596723,0.49177273,0.483392684,0.489815649
253,Tony Snell,0.489595791,0.489459025,0.488570106,0.492501771,0.488882214,0.489801781
254,Allen Crabbe,0.478832533,0.478671437,0.503952509,0.498040784,0.488179691,0.489535391
255,Enes Kanter,0.499294715,0.498449094,0.473632741,0.481357223,0.494796292,0.489506013
256,Tyrone Wallace,0.492359348,0.492576699,0.479606064,0.484453402,0.498192451,0.489437593
257,Derrick Jones,0.488336652,0.488324585,0.489761221,0.489843762,0.490331546,0.489319553
258,Marcin Gortat,0.494521678,0.494417262,0.479401376,0.480640807,0.495745081,0.488945241
259,Jabari Parker,0.490671272,0.490080298,0.487500161,0.490126598,0.485677823,0.48881123
260,Al-Farouq Aminu,0.483905011,0.48359166,0.491423673,0.492877406,0.490893115,0.488538173
261,Ivan Rabb,0.494618864,0.494387473,0.473831841,0.480937131,0.49620834,0.48799673
262,Maurice Harkless,0.487709591,0.487630611,0.484285408,0.490188119,0.490063254,0.487975397
263,Patrick Patterson,0.488793765,0.488868766,0.482114513,0.487393532,0.492161885,0.487866492
264,Thaddeus Young,0.483746415,0.483572122,0.493204613,0.490934356,0.48787268,0.487866037
265,Kevin Huerter,0.48604767,0.485438524,0.492427517,0.488465387,0.486430721,0.487761964
266,David Nwaba,0.489566791,0.489858712,0.485527336,0.484126662,0.48942676,0.487701252
267,Moritz Wagner,0.491584913,0.491175462,0.480573182,0.483551111,0.491372146,0.487651363
268,Alec Burks,0.49377409,0.493198078,0.477607332,0.481605274,0.490728277,0.487382611
269,Jake Layman,0.487673639,0.48767548,0.485792466,0.484900645,0.488868917,0.48698223
270,Dante Cunningham,0.486230773,0.48626683,0.482575304,0.488555418,0.490763567,0.486878378
271,Wilson Chandler,0.483706667,0.483821704,0.488811891,0.48664752,0.490641123,0.486725781
272,Elie Okobo,0.486939904,0.486865704,0.487067495,0.490345033,0.480588674,0.486361362
273,Bryn Forbes,0.480449221,0.479981845,0.498684167,0.49105697,0.480100701,0.486054581
274,Evan Fournier,0.484619023,0.483854965,0.495141178,0.486964593,0.478154461,0.485746844
275,DeAndre' Bembry,0.486415775,0.486163333,0.482134009,0.486962453,0.48493098,0.48532131
276,Taj Gibson,0.48563822,0.485598165,0.484749212,0.485370945,0.482422204,0.484755749
277,Devonte' Graham,0.492429251,0.491238911,0.470374238,0.483806421,0.485793691,0.484728503
278,Josh Hart,0.478927005,0.478828643,0.491299125,0.487066212,0.48688459,0.484601115
279,Cristiano Felício,0.490301547,0.49052112,0.474060826,0.475692554,0.491693852,0.48445398
280,Hamidou Diallo,0.4864743,0.48657061,0.481534612,0.478953445,0.487908299,0.484288253
281,Kyle Kuzma,0.48322611,0.48242651,0.49002067,0.481563488,0.483497742,0.484146904
282,Shelvin Mack,0.48432042,0.483908797,0.484635586,0.487653162,0.478782362,0.483860065
283,Bismack Biyombo,0.491739804,0.491605929,0.468821394,0.474504924,0.492403341,0.483815078
284,Nicolas Batum,0.481125268,0.480661994,0.484714781,0.483494186,0.488731665,0.483745579
285,Mario Hezonja,0.484794375,0.484728162,0.479153033,0.479031333,0.487434554,0.483028291
286,Joe Harris,0.480203618,0.479468605,0.492514806,0.484658342,0.477109613,0.482790997
287,Michael Kidd-Gilchrist,0.488531165,0.488611696,0.477268094,0.474942422,0.484341818,0.482739039
288,Darius Miller,0.475748688,0.475352954,0.498205117,0.487442928,0.476274031,0.482604744
289,Tyler Dorsey,0.489762056,0.488990864,0.467349903,0.476683205,0.489125669,0.48238234
290,Tristan Thompson,0.489021315,0.488834697,0.473183082,0.47437442,0.485117243,0.482106151
291,OG Anunoby,0.476739179,0.47695313,0.484728836,0.485800441,0.484021007,0.481648519
292,Jalen Brunson,0.485101033,0.484450569,0.47476676,0.481197001,0.480540184,0.481211109
293,Juan Hernangomez,0.481140985,0.481091803,0.480227367,0.480732026,0.482764279,0.481191292
294,Bojan Bogdanovic,0.4761017,0.475585612,0.493565644,0.488018817,0.471364616,0.480927278
295,Shaun Livingston,0.486604557,0.486642639,0.471497548,0.476484189,0.479941466,0.48023408
296,Shai Gilgeous-Alexander,0.478448312,0.478132649,0.489008344,0.483629282,0.47135435,0.480114587
297,Josh Jackson,0.483571945,0.483265565,0.476250865,0.47730958,0.479701808,0.480019953
